student_id,study_time_hours,attendance_percentage,assignments_completed,lms_clicks,forum_participation,sleep_hours,internet_usage_hours,previous_grade,final_grade
1,7,63,8,310,5,8.2,3.3,80,51.4
2,4,96,7,352,0,6.6,7.7,71,31.4
3,8,77,7,199,22,8.7,4.6,69,57.1
4,5,67,8,434,18,8.0,3.8,77,48.7
5,7,60,1,377,12,7.5,4.6,33,39.3
6,10,93,1,254,5,4.0,6.5,89,69.0
7,3,82,8,362,14,6.1,3.4,68,53.1
8,7,57,4,215,15,5.0,2.3,34,48.8
9,8,75,5,327,23,8.6,5.1,35,53.1
10,5,74,8,99,22,4.9,5.7,43,30.6
11,4,84,5,154,15,5.4,6.0,99,50.6
12,8,94,10,41,9,6.6,7.2,41,72.5
13,8,48,4,496,21,5.3,3.6,91,55.7
14,3,92,6,350,8,5.0,1.5,56,49.0
15,6,77,5,459,8,7.0,7.7,83,55.5
16,5,97,7,244,16,4.4,4.0,41,51.6
17,2,69,10,77,16,4.3,5.4,37,30.0
18,8,99,7,112,16,5.9,5.7,45,55.7
19,6,83,4,211,23,7.6,4.8,81,55.1
20,2,73,5,122,11,6.8,2.4,55,47.9
21,5,71,3,415,12,6.1,6.3,37,39.4
22,1,42,4,26,11,6.8,6.6,74,30.0
23,10,42,4,147,13,5.8,4.9,48,50.6
24,6,67,3,74,9,8.7,4.4,46,39.0
25,9,83,10,250,22,4.3,1.8,94,59.8
26,1,54,5,381,18,7.4,1.6,58,30.0
27,10,80,5,81,1,8.5,3.4,43,62.4
28,3,62,7,259,3,8.0,3.2,46,46.9
29,7,79,4,109,18,4.9,7.7,42,49.6
30,4,50,4,251,6,5.5,6.5,92,46.8
31,9,87,9,476,14,7.6,5.6,62,65.5
32,3,71,6,252,14,4.4,4.6,58,40.5
33,5,97,4,373,23,8.1,2.2,66,59.8
34,3,98,2,352,5,7.6,7.8,75,31.0
35,7,96,6,458,2,7.6,3.6,53,57.9
36,5,93,2,394,5,4.5,1.7,43,39.4
37,9,75,5,311,15,7.6,4.5,34,60.2
38,7,99,6,364,1,7.4,7.1,82,60.8
39,2,72,4,171,6,8.2,7.2,59,37.5
40,4,63,3,447,10,4.2,1.1,89,36.1
41,9,78,7,164,6,4.1,7.2,57,62.5
42,2,73,2,149,3,5.9,2.9,55,41.1
43,10,95,6,160,23,4.7,1.3,47,66.7
44,9,67,4,434,19,6.8,6.9,65,48.5
45,10,76,6,112,6,8.6,7.0,37,49.8
46,5,46,4,133,3,6.0,5.2,47,37.4
47,2,43,4,303,11,8.2,5.0,87,31.9
48,4,76,4,463,4,4.0,6.7,61,44.9
49,7,95,9,430,22,4.8,6.5,78,45.4
50,8,40,7,162,18,4.2,7.2,77,44.0
51,3,40,3,242,4,5.6,4.9,94,50.7
52,1,86,3,251,18,8.5,7.8,62,41.3
53,4,59,6,482,20,4.5,8.0,79,43.0
54,2,58,6,52,2,7.0,1.8,33,45.6
55,8,68,4,295,10,6.3,6.9,65,35.3
56,4,49,9,189,6,8.7,4.5,57,34.5
57,2,99,4,159,16,4.6,3.7,32,35.8
58,6,57,9,376,24,5.1,5.3,35,46.7
59,6,67,4,220,8,4.1,1.4,74,56.0
60,10,74,2,42,20,6.2,4.5,52,49.7
61,4,82,2,475,8,5.4,7.1,36,44.8
62,6,86,5,243,9,8.3,2.5,90,57.1
63,2,70,4,387,12,7.0,4.0,94,53.3
64,10,66,7,289,14,7.1,7.6,35,44.5
65,2,50,5,366,21,6.7,4.0,53,31.1
66,10,88,6,172,4,4.5,3.5,66,60.3
67,4,88,10,352,2,6.2,4.1,74,60.2
68,8,77,4,104,7,9.0,4.6,80,55.8
69,7,44,2,128,19,8.2,5.4,74,45.4
70,9,47,10,50,9,8.5,6.6,92,62.1
71,8,73,9,248,12,8.1,4.2,58,60.1
72,5,87,10,259,2,4.5,6.7,54,55.2
73,2,91,7,397,21,5.1,4.7,39,40.7
74,5,95,4,382,7,4.0,3.4,64,48.4
75,8,51,3,329,8,5.5,5.6,84,48.6
76,10,77,10,408,21,4.5,6.0,54,59.5
77,9,40,3,160,20,6.4,4.9,74,51.3
78,9,70,9,175,11,7.4,1.4,41,54.7
79,1,43,5,318,10,8.4,2.2,33,30.0
80,9,88,3,364,1,7.7,3.0,96,56.9
81,7,84,5,390,17,8.7,3.0,46,57.7
82,9,89,2,118,8,4.3,5.7,94,65.1
83,8,44,4,66,1,4.1,1.1,82,57.9
84,1,69,10,346,1,7.3,6.3,86,42.5
85,8,95,2,441,2,5.4,2.9,57,45.2
86,8,63,2,499,15,5.3,3.2,45,44.3
87,3,98,8,86,18,5.7,4.7,50,45.1
88,1,42,1,81,3,5.3,2.5,71,34.3
89,8,50,7,128,22,6.6,7.2,83,37.8
90,3,84,5,186,24,6.2,1.6,61,45.8
91,3,43,8,56,17,6.6,4.1,67,40.5
92,1,65,1,138,19,7.4,6.9,99,34.7
93,5,66,7,105,24,5.9,5.3,67,46.7
94,10,85,5,401,17,5.3,3.0,83,62.1
95,7,93,4,411,9,4.8,3.9,89,55.9
96,10,82,7,484,10,5.7,5.9,76,61.2
97,9,66,10,71,16,7.7,7.8,41,47.2
98,7,81,2,110,23,7.8,7.3,82,60.2
99,9,90,1,308,24,7.3,3.4,62,54.7
100,8,89,1,356,22,5.2,8.0,57,46.4
101,2,45,1,317,23,6.9,1.0,32,38.5
102,1,98,5,223,19,6.9,1.2,55,50.1
103,7,54,10,387,15,6.4,6.8,83,39.4
104,7,92,7,257,19,6.7,2.4,69,54.6
